Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap
179.989,8,0.981146160,1.100000000,10.8049%,0.11885
260.124,9,0.981175023,1.100000000,10.8023%,0.11882
332.695,10,0.980923047,1.100000000,10.8252%,0.11908
538.122,11,0.979846148,1.100000000,10.9231%,0.12015
719.388,12,0.979722273,1.100000000,10.9343%,0.12028
745.947,13,0.979774039,1.100000000,10.9296%,0.12023
770.380,14,0.979730918,1.100000000,10.9336%,0.12027
827.763,15,0.979739366,1.100000000,10.9328%,0.12026
873.783,16,0.979722956,1.100000000,10.9343%,0.12028
894.740,17,0.979722224,1.100000000,10.9343%,0.12028
916.399,18,0.979748667,1.100000000,10.9319%,0.12025
937.555,19,0.979824384,1.100000000,10.9251%,0.12018
956.751,20,0.979735285,1.100000000,10.9332%,0.12026
978.556,21,0.979755235,1.100000000,10.9313%,0.12024
1030.285,22,0.979717508,0.993312633,1.3687%,0.01360
1106.833,23,0.979720173,0.985856396,0.6224%,0.00614
1107.799,24,0.979726078,0.985856396,0.6218%,0.00613
1171.318,25,0.979714381,0.985856396,0.6230%,0.00614
1204.468,26,0.979714015,0.985856396,0.6231%,0.00614
1205.331,27,0.979731761,0.985856396,0.6213%,0.00612
1261.149,28,0.979723720,0.985856396,0.6221%,0.00613
1279.264,29,0.979876195,0.985856396,0.6066%,0.00598
1363.813,30,0.979880795,0.985856396,0.6061%,0.00598
1602.137,31,0.979756168,0.985856396,0.6188%,0.00610
1635.638,32,0.979732306,0.985856396,0.6212%,0.00612
1655.810,33,0.979763531,0.985856396,0.6180%,0.00609
1677.779,34,0.979880274,0.985856396,0.6062%,0.00598
1804.944,35,0.979739230,0.985856396,0.6205%,0.00612
